CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.6,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.3,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.61,12.0,0.0,4.0,1.0,0.0,7.0,1.0,1.0,1.0,10.0,10.0,8.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1.1,5.0,0.0,5.0,1.0,0.0,3.0,1.0,4.0,4.0,8.0,8.0,9.0,0.0,0.0,1.0,2.0,0
0.0,1.0,1.0,16.0,1.0,2.0,7.0,1.0,0.19,0.0,16.0,3.0,1.0,1.0,9.0,2.0,6.4,1.0,5.5,1.0,1.0,1.0,0.0,1.0,5.0,0
5.0,0.0,2.0,0.0,1.0,2.0,0.0,4.0,0.37,0.0,23.0,3.0,3.0,0.0,1.0,2.0,3.57,0.0,3.26,1.0,1.0,1.0,0.0,2.0,2.0,0
0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,1.12,0.0,3.0,1.0,2.0,0.0,0.0,1.0,1.67,0.0,2.67,2.0,1.0,1.0,0.0,1.0,0.0,0
6.0,0.0,1.0,8.0,1.0,2.0,1.0,7.0,0.69,0.0,50.0,2.0,3.0,33.0,12.0,3.0,6.78,0.0,2.49,1.0,1.0,0.33,0.0,5.0,6.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.91,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.5,1.0,1.5,1.0,1.0,0.0,0.0,2.0,1.0,0
0.0,3.0,1.0,0.0,4.0,1.0,0.0,0.0,5.83,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,1.66,0.0,19.0,1.0,2.0,0.0,2.0,2.0,0.63,0.0,1.11,0.0,1.0,0.0,0.0,3.0,0.0,0
2.0,0.0,1.0,1.0,4.0,8.0,17.0,12.0,0.75,0.0,67.0,2.0,3.0,4.0,14.0,2.0,3.42,0.0,3.36,1.0,1.0,1.0,0.0,4.0,7.0,0
