CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,target
1.0,0.0,1.0,0.0,10.0,3.0,1.0,62.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.75,0.0,3.0,2.0,1.0,0
1.0,0.0,1.0,0.0,0.0,2.0,1.0,72.0,2.0,0.0,4.0,15.0,0.0,3.0,0.0,11.0,1.0,0.0,1.0,0.0,0.43,0.0,2.0,3.0,1.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0
0.0,0.0,1.0,1.0,1.0,0.0,1.0,24.0,1.0,1.0,1.0,3.0,0.0,3.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0
0.0,5.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,4.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0
0.0,4.0,1.0,0.0,0.0,3.0,1.0,35.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0
0.0,0.0,1.0,2.0,0.0,1.0,1.0,79.0,1.0,5.0,13.0,37.0,0.0,3.0,0.0,14.0,1.0,0.0,1.0,0.0,0.68,2.0,3.0,3.0,4.0,0
0.0,1.0,1.0,0.0,0.0,6.0,1.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,21.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,2.0,2.0,3.0,12.0,0.0,2.0,1.0,8.0,2.0,0.0,1.0,0.0,0.67,0.0,2.0,2.0,0.0,0
1.0,0.0,1.0,1.0,11.0,0.0,1.0,25.0,1.0,0.0,0.0,11.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.67,0.0,3.0,2.0,2.0,0
0.0,0.0,1.0,3.0,6.0,0.0,1.0,49.0,1.0,0.0,3.0,14.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,8.0,0.0,0.0,0.0,12.0,23.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,13.0,0.0,0.5,0.0,2.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,3.0,23.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,6.0,0.0,0.5,0.0,2.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,0
0.0,0.0,7.0,2.0,0.0,1.0,10.0,25.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,2.0,6.0,11.0,0.0,0.5,0.0,3.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,31.0,1.0,3.0,4.0,7.0,0.0,2.0,17.0,7.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.0,1.0,7.0,5.0,20.0,0.0,1.0,21.0,10.0,3.0,0.0,0.0,0.0,0.4,0.0,2.0,5.0,3.0,1
4.0,0.0,1.0,1.0,3.0,0.0,2.0,38.0,1.0,4.0,9.0,33.0,0.0,1.0,15.0,10.0,2.0,0.0,1.0,0.0,0.5,0.0,3.0,4.0,2.0,1
0.0,0.0,1.0,1.0,1.0,0.0,1.0,21.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,24.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.5,0.0,3.0,3.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.0,4.0,8.0,5.0,42.0,0.0,2.0,1.0,11.0,2.0,1.0,1.0,0.0,0.44,0.0,1.0,4.0,0.0,1
0.0,0.0,1.0,0.0,0.0,1.0,1.0,24.0,1.0,0.0,1.0,3.0,0.0,4.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,23.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,6.0,2.0,2.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,2.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,2.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0
0.0,2.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,3.0,2.0,0.0,0
0.0,0.0,1.0,13.0,0.0,2.0,2.0,52.0,1.0,4.0,2.0,11.0,0.0,1.0,0.0,10.0,1.0,0.0,1.0,0.0,0.8,0.0,4.0,2.0,0.0,1
1.0,0.0,1.0,0.0,0.0,0.0,1.0,31.0,2.0,2.0,6.0,25.0,0.0,4.0,0.0,15.0,2.0,0.0,0.0,0.0,0.39,0.0,2.0,4.0,3.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,1.0,2.0,11.0,0.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,0.8,0.0,2.0,2.0,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,26.0,1.0,1.0,4.0,12.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,39.0,1.0,1.0,3.0,14.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.5,0.0,3.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,2.0,10.0,0.0,4.0,0.0,6.0,1.0,0.0,1.0,0.0,0.6,0.0,2.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0
0.0,0.0,1.0,0.0,1.0,0.0,2.0,28.0,1.0,4.0,2.0,8.0,0.0,2.0,4.0,4.0,2.0,0.0,0.0,0.0,0.5,0.0,2.0,2.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,1.0,2.0,8.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,2.0,10.0,0.0,4.0,0.0,12.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,3.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,2.0,3.0,9.0,0.0,4.0,0.0,6.0,1.0,0.0,1.0,0.0,0.86,0.0,2.0,2.0,4.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,6.0,0.0,4.0,0.0,5.0,1.0,0.0,1.0,0.0,0.75,0.0,3.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,0.0,5.0,0.0,4.0,0.0,5.0,1.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.0,1.0,0.0,11.0,29.0,0.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,0.67,0.0,3.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.0,1.0,0.0,3.0,13.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.75,0.0,2.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,37.0,1.0,0.0,3.0,16.0,0.0,3.0,0.0,6.0,1.0,0.0,1.0,0.0,0.71,0.0,2.0,3.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,0.5,0.0,3.0,2.0,2.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,21.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.0,1.0,1.0,2.0,4.0,0.0,3.0,0.0,4.0,1.0,1.0,2.0,0.0,0.33,0.0,1.0,3.0,1.0,0
0.0,0.0,1.0,3.0,0.0,0.0,1.0,38.0,1.0,6.0,7.0,12.0,0.0,2.0,2.0,6.0,3.0,0.0,0.0,0.0,0.75,0.0,2.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,25.0,1.0,2.0,2.0,5.0,0.0,2.0,0.0,5.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,35.0,1.0,2.0,4.0,8.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0
0.0,0.0,1.0,0.0,3.0,0.0,1.0,24.0,1.0,3.0,0.0,4.0,0.0,3.0,0.0,5.0,1.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,1.0,0
0.0,0.0,2.0,1.0,0.0,7.0,3.0,72.0,1.0,0.0,1.0,6.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0
0.0,1.0,1.0,0.0,0.0,5.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
0.0,0.0,1.0,2.0,0.0,0.0,1.0,24.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0,8.0,2.0,1.0,2.0,0.0,0.43,0.0,4.0,3.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,3.0,0.0,14.0,29.0,0.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,20.0,1.0,0.0,1.0,4.0,0.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.67,0.0,2.0,2.0,1.0,0
0.0,0.0,1.0,2.0,0.0,0.0,1.0,33.0,1.0,1.0,3.0,10.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,3.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,4.0,0.0,2.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,2.0,1.0,0.0,0.0,5.0,1.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,1.0,1.0,0.0,0.0,8.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.5,0.0,2.0,2.0,2.0,0
0.0,1.0,1.0,0.0,0.0,5.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0
0.0,2.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,2.0,1.0,0.0,0.5,0.0,2.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
1.0,0.0,1.0,0.0,2.0,3.0,1.0,30.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0
1.0,0.0,1.0,1.0,0.0,0.0,2.0,26.0,1.0,7.0,7.0,3.0,0.0,1.0,2.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,18.0,8.0,8.0,39.0,0.0,3.0,0.0,10.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,0
0.0,0.0,1.0,0.0,0.0,1.0,2.0,33.0,6.0,0.0,0.0,10.0,2.0,3.0,0.0,13.0,2.0,0.0,4.0,0.0,0.67,0.0,2.0,2.0,2.0,0
0.0,0.0,1.0,4.0,0.0,0.0,2.0,22.0,5.0,1.0,0.0,7.0,2.0,4.0,1.0,4.0,2.0,0.0,1.0,0.0,0.5,0.0,1.0,4.0,0.0,1
